"ID","shiftID","entryTime","entry","initials","callback","key"
129,25,23-Jun-2018 02:34:00,"BARRIER MAINTENANCE ON AFLD FOR DAILY BARRIER INSPECTION","KF",,
136,25,23-Jun-2018 03:00:00,"AFLD5/KF ON AFLD FOR FOD/BASH CK","SD",,
137,25,23-Jun-2018 12:29:00,"AFLD5/KF OFF AFLD. NOTHING TO REPORT","SD",,
138,25,23-Jun-2018 13:15:00,"SRA S. DESOUZA AND A1C K. FLICK OFF DUTY. SRA K. LIMA/KG (AMSL) AND A1C C. BRISCOE/CB (AMOC) ON DUTY. SHIFT BREIF AND DAYSHIFT CHECKLIST CMPLT. LOG CLOSED","SD",,
139,26,23-Jun-2018 04:15:00,"LOG OPEN. SRA K. LIMA/KG(AMSL) AND A1C C. BRISCOE/CB (AMOC) ON DUTY. NOTAMS SAVED 18M, 2V, 3L. LMR #12 AND #2 REMAIN CK'D OUT TO CONTRACTOR, MAJV. RWY:18 I USE, BARRIERS WITHDRAWN, RSC:DRY, BWC:LOW. FLIGHT PLANNING ROOM CK CMPLT. WILL CONTINUE TO MNITOR RAMP NET THROUGHOUT SHIFT FR PROPER PHRASOLOGY","CB",,
144,26,23-Jun-2018 05:03:00,"AFLD5/KG ON AFLD FOR FOD/BASH CK","CB",,
145,26,23-Jun-2018 05:28:00,"AFLD5/KG OFF AFLD. FOD/BASH CK CMPLT. NEW NOTAM M0452/18 RWY 18/36 WET WITH NO STANDING WATER","CB",,
146,26,23-Jun-2018 07:22:00,"AFLD5/CB ON AFLD FOR RAMP CK","CB",,
147,26,23-Jun-2018 07:43:00,"AFLD5/CB OF AFLD. RAMP CK CMPLT","CB",,
148,26,23-Jun-2018 07:59:00,"LMR #12 RETURNED","CB",,
150,26,23-Jun-2018 08:34:00,"AFLD5/KG ON AFLD FOR RAMP/483 CK","KG",,
151,26,23-Jun-2018 09:01:00,"AFLD5/KG OFF AFLD. RAMP/483 CK CMPLT. 2 483S CKED AND FOUND COMPLIANT","KG",,
152,26,23-Jun-2018 10:59:00,"AFLD5/CB ON AFLD FOR DAILY LIGHTING CK","KG",,
153,26,23-Jun-2018 11:56:00,"AFLD5/CB OFF AFLD. DAILY LIGHTING CK CMPLT. LIGHTING OUTAGES EMAILED TO AMOPS/AFLD LIGHTING","KG",,
154,26,23-Jun-2018 12:27:00,"AFLD5/KG ON AFLD FOR FINAL CK","KG",,
155,26,23-Jun-2018 12:41:00,"AFLD5/KG OFF AFLD. FINAL CK CMPLT","KG",,
156,26,23-Jun-2018 13:00:00,"AERODROME CLOSED. SRA K. LIMA AND A1C C. BRISCOE OFF DUTY. CP/TH NOTIFIED THAT SRA K. LIMA ON STANDBY UNTIL 0100L, THEN SRA S. DESOUZA ASSUMES ROLE OF STANDBY PERSONNEL. SOP#3 CMPLT. SWINGSHIFT CKLST CMPLT. LOG CLOSED","KG",,
157,27,23-Jun-2018 20:00:00,"LOG OPEN. SRA S. DESOUZA/SD(AMSL), A1C K. FLICK/KF (AMOC) AND A1C A. PERSAUD/AP (AMSL) ON DUTY","KF",,
158,27,23-Jun-2018 20:18:00,"AFLD5/KF ON AFLD FOR PRIOR TO FLYING CK","KF",,
159,27,23-Jun-2018 20:44:00,"AFLD5/KF OFF AFLD. PRIOR TO FLYING CK CMPLT. BWC: LOW, RSC: DRY, BARRIERS WITHDRAWN","KF",,
160,27,23-Jun-2018 20:55:00,"TWR/RL NOTIFIED AMOPS OF OPENING RWY 18 ON THE HOUR","KF",,
161,27,23-Jun-2018 20:56:00,"PTD CK CMPLT. BOTH UHF/VHF L/C","KF",,
162,27,23-Jun-2018 21:00:00,"AEROROME OPEN","KF",,
163,27,23-Jun-2018 22:50:00,"AFLD5/SD ON AFLD FOR DAILY INSPECTION","KF",,
164,28,24-Jun-2018 04:15:00,"LOG OPEN. SRA K. LIMA/KG(AMSL) AND A1C C. BRISCOE/CB (AMOC) ON DUTY. NOTAMS SAVED 18M, 2V, 3L. LMR #12 AND #2 REMAIN CK'D OUT TO CONTRACTOR, MAJV. RWY:18 I USE, BARRIERS WITHDRAWN, RSC:DRY, BWC:LOW. FLIGHT PLANNING ROOM CK CMPLT. MONITORING RAMP NET THROUGHOUT SHIFT FOR PROPER PHRASOLOGY","KG",,
165,28,24-Jun-2018 04:27:00,"AFLD5/CB ON AFLD FOR FOD/BASH CK","KG",,
166,28,24-Jun-2018 04:43:00,"TWR/GT ADVS RWY 36 IN USE","KG",,
167,28,24-Jun-2018 04:53:00,"AFLD5/CB OFF AFLD. FOD/BASH CK CMPLT","KG",,
168,28,24-Jun-2018 07:19:00,"AFLD5/CB ON AFLD FOR RAMP/483 CK","KG",,
169,28,24-Jun-2018 07:36:00,"AFLD5/CB OFF AFLD. RAMP/483 CK CMPLT. 2 483S CKED AND FOUND COMPLIANT","KG",,
170,28,24-Jun-2018 07:53:00,"TWR/GT ADVS RWY 18 IN USE","KG",,
172,28,24-Jun-2018 11:21:00,"AFLD5/KG ON AFLD FOR LIGHTING CK","KG",,
173,28,24-Jun-2018 12:11:00,"AFLD5/KG OFF AFLD. DAILY LIGHTING CK CMPLT. LIGHTING OUTAGE CHART EMAILED TO AMOPS/AFLD LIGHTING","KG",,
174,28,24-Jun-2018 12:31:00,"AFLD5/KG ON AFLD FOR FINAL CK","KG",,
175,28,24-Jun-2018 12:52:00,"AFLD5/KG OFF AFLD. FINAL CK CMPLT","KG",,
176,28,24-Jun-2018 13:00:00,"AERODROME CLOSED. SRA K. LIMA AND A1C C. BRISCOE OFF DUTY. CP/CR NOTIFIED THAT SRA K. LIMA ON STANDBY UNTIL 0100L, THEN SSGT P. RODRIGUEZ ASSUMES ROLE OF STANDBY PERSONNEL. SOP#3 CMPLT. SWINGSHIFT CKLST CMPLT. LOG CLOSED","KG",,
177,27,24-Jun-2018 05:23:00,"INCOMPLETE INCOMPLETE INCOMPLETE","SD",,
192,71,28-Jun-2018 20:00:00,"LOG OPEN. SRA S. DESOUZA/SD(AMSL), A1C A. PERSAUD/AP (AMSL) AND A1C C. BRISCOE/CB (AMOC) ON DUTY. NOTAMS: 19M, 2V, 5L. DAYSHIFT CHECKLIST INITIATED. MONITORING RAMPNET FOR PROPER PHRASEOLOGY THROUGHOUT SHIFT","SD",,
193,72,28-Jun-2018 16:00:00,"LOG OPEN. SRA S. DESOUZA/SD(AMSL) ON DUTY. NOTAMS: 19M, 2V, 5L. FLIGHT PLANNING RM CK CMPLT. RWY 18 IN USE. RSC DRY, BWC LOW. BARRIERS WITHDRAWN. DAYSHIFT CHECKLIST INITIATED. MONITORING RAMPNET FOR PROPER PHRASEOLOGY THROUGHOUT SHIFT","SD",,
194,72,28-Jun-2018 18:34:00,"AFLD5/SD ON AFLD FOR FOD/BASH CK","SD",,
195,72,28-Jun-2018 18:48:00,"AFLD5/SD OFF AFLD NOTHING TO REPORT","SD",,
196,72,28-Jun-2018 20:00:00,"A1C A. PERSAUD/AP (AMOC) AND A1C C. BRISCOE/CB (AMOC) ON DUTY","SD",,
197,72,28-Jun-2018 20:05:00,"AFLD5/AP ON AFLD FOR FOD/BASH CK","CB",,
198,72,28-Jun-2018 20:22:00,"AFLD5/AP OFF AFLD. FOD/BASH CK CMPLT","CB",,
199,72,28-Jun-2018 20:56:00,"PTD CK BOTH FREQUENCIES L/C. TX TO GROUND IS L/C WITH A LOT OF STATIC","CB",,
200,72,28-Jun-2018 23:05:00,"TWR/BB INITIATED THE DAILY PCAS CK. ALL AGENCIES L/C","CB",,
201,72,28-Jun-2018 23:15:00,"SD INITIATED THE SCN. ALL AGENCIES WITH THE EXCEPTION OF FD AND CE RESPONDED L/C","CB",,
202,72,28-Jun-2018 22:45:00,"LMR #3 CK'D OUT TO MAJV. ON AFLD","CB",,
203,72,28-Jun-2018 23:58:00,"LMR #12 CK'D IN","CB",,
204,72,29-Jun-2018 00:31:00,"AFLD5/AP,TSGT W. STEPHENS/WS FOR DAILY AFLD INSPECTION","CB",,
205,72,29-Jun-2018 00:53:00,"AFLD1/MSGT C. DAVIS/CD ON AFLD FOR CONSTRUCTION CK","CB",,
206,72,29-Jun-2018 00:59:00,"WX WARNING 06-001 ISSUED FOR WINDS GREATER THAN OR EQUAL TO 35KNOTS BUT NOT GREATER THAN 50 KNOTS. IN EFFECT FROM 1125L-1400L. QRC #7 INITIATED","CB",,
207,72,29-Jun-2018 01:31:00,"AFLD5/AP/WS OFF AFLD. DAILY AFLD INSPECTION CMPLT","CB",,
208,72,29-Jun-2018 01:47:00,"AFLD1/CD OFF AFLD. CONSTRUCTION CK CMPLT","CB",,
211,72,29-Jun-2018 03:19:00,"AFLD5/AP ON AFLD FOR FOD/BASH AND 483 CK","CB",,
212,72,29-Jun-2018 03:46:00,"AFLD5/AP OFF AFLD. 2 483S LOGGED IN COMPLIANCE","CB",,
213,72,29-Jun-2018 04:15:00,"A1C A. PERSAUD/AP AND A1C C. BRISCOE/CB OFF DUTY. SRA K. LIMA/KG (AMSL) AND A1C K. FLICK/FK (AMOC) ON DUTY. DAYSHIFT CHECKLIST AND SHIFT BRIEF CMPLT. LOG CLOSED","AP",,
214,72,29-Jun-2018 00:01:00,"SRA S. DESOUZA OFF DUTY","SD",,
215,73,29-Jun-2018 17:00:00,"LOG OPEN. SRA S. DESOUZA/SD(AMSL) AND A1C A. PERSAUD/AP (AMOC) ON DUTY. NOTAMS: 18M, 2V, 3L. FLT PLANNING RM CK CMPLT. AERODROME OPEN. RWY 18 IN USE. DAYSHIFT CHECKLIST INITIATED. MONITORING RAMPNET FOR PROPER PHRASEOLOGY THROUGHOUT SHIFT","SD",,
216,73,29-Jun-2018 18:02:00,"AFLD5/SD ON AFLD FOR PRIOR TO FLYING CK","SD",,
217,73,29-Jun-2018 18:23:00,"AFLD5/SD OFF AFLD. RSC DRY, BC LOW. BARRIERS WITHDRAWN","SD",,
218,73,29-Jun-2018 19:35:00,"PTD CK CONDUCTED WITH TWR/RL. UHF TX CONSTANT STATIC; VHF TX UNREADABLE. BOTH RX LOUD AND CLEAR","SD",,
219,73,29-Jun-2018 20:00:00,"A1C C. BRISCOE/CB (AMOC) ON DUTY","SD",,
220,73,29-Jun-2018 21:19:00,"AFLD5/SD ON AFLD FOR DAILY INSPECTION","AP",,
221,73,29-Jun-2018 22:53:00,"LMR #12 CHECKED OUT BY MAJV1","AP",,
222,73,29-Jun-2018 23:04:00,"PCAS CK CONDUCTED BY TWR/PR. ALL PARTIES LOUD AND CLEAR","AP",,
223,73,29-Jun-2018 23:16:00,"LMR #3 CHECKED OUT BY MAJV2","AP",,
224,73,29-Jun-2018 22:26:00,"AFLD5/SD OFF AFLD. DAILY INSPECTION CMPLT. 483 CK CMPLT. APPROX 15 RICE BIRDS SEEN ON RWY. DISPERSED WITH VEHICLE","CB",,
225,73,29-Jun-2018 23:59:00,"AFLD5/SD ON AFLD FOR RAMP CK","CB",,
226,73,30-Jun-2018 00:08:00,"CB INITIATED SCN ALL AGENCIES L/C","CB",,
227,73,30-Jun-2018 00:22:00,"AFLD5/SD OFF AFLD RAMP CK AND 483 CK CMPLT","CB",,
228,73,30-Jun-2018 00:20:00,"LMR #3 RETURNED. MAJV2 OFF AFLD","CB",,
229,73,30-Jun-2018 02:13:00,"AFLD5/CB ON AFLD FOR FOD/BASH CK","CB",,
230,73,29-Jun-2018 23:00:00,"A1C A. PERSAUD OFF DUTY","SD",,
231,73,30-Jun-2018 02:38:00,"AFLD5/CB OFF AFLD FOD/BASH CK CMPT","CB",,
232,73,30-Jun-2018 04:02:00,"CRASH STATUS RECEIVED VIA PHONE GREEN 10400","SD",,
234,74,30-Jun-2018 20:00:00,"LOG OPEN. SRA S. DESOUZA/SD(AMSL), A1C A. PERSAUD/AP (AMSL) AND A1C C. BRISCOE/CB (AMOC) ON DUTY. NOTAMS: 20M, 2V, 3L. DAYSHIFT CHECKLIST INITIATED. MONITORING RAMPNET FOR PROPER PHRASEOLOGY THROUGHOUT SHIFT","SD",,
235,75,30-Jun-2018 20:00:00,"LOG OPEN. SRA S. DESOUZA/SD(AMSL), A1C A. PERSAUD/AP (AMSL) AND A1C C. BRISCOE/CB (AMOC) ON DUTY. NOTAMS: 20M, 2V, 3L.  CHECKLIST INITIATED. MONITORING RAMPNET FOR PROPER PHRASEOLOGY THROUGHOUT SHIFT","SD",,
236,75,01-Jul-2018 04:46:51,"BASH REPORTED. 1 CROW FOUND LOAFING AT RWY. DISPERSED USING VEHICLE. FSDF","sd",,
237,75,01-Jul-2018 04:53:58,"BASH REPORTED. 0 CROW FOUND LOAFING AT TT. DISPERSED USING VEHICLE. TT","sd",,
238,75,01-Jul-2018 04:55:48,"BASH REPORTED. 4 CROWS FOUND LOAFING AT FG. DISPERSED USING VEHICLE. FD","sd",,
239,75,30-Jun-2018 20:13:00,"INCOMPLETE INCOMPLETE INCOMPLETE","SD",,
251,85,01-Jul-2018 20:00:00,"LOG OPEN. SSGT J. GUTIERREZ/JG(AMOS), SRA S. DESOUZA/SD (AMOC) AND CIV K. NANKO/KN (AMOC) ON DUTY. NOTAMS: 19M, 2V, 3L. FLIGHT PLANNING RM CK CMPLT. DAYSHIFT CHECKLIST AND SOP #3 INITIATED. MONITORING RAMPNET FOR PROPER PHRASEOLOGY THROUGHOUT SHIFT","SD",,
252,85,01-Jul-2018 20:16:00,"MOWERS ON AFLD BTWN TWY A2 AND TWY C2","SD",,
253,85,01-Jul-2018 20:22:00,"AFLD5/KN ON AFLD FOR PRIOR TO FLYING CK","SD",,
254,85,01-Jul-2018 21:00:00,"AERODROME OPEN. RWY 18 IN USE. PER AFLD5/KN, RSC DRY, BWC LOW. BARRIERS WITHDRAWN","SD",,
255,85,01-Jul-2018 21:16:00,"PTD CONDUCTED WITH TWR/SZ. BOTH FREQS TX MUFFLED BUT READABLE","SD",,
256,85,01-Jul-2018 22:12:00,"AFLD5/JG ON AFLD FOR DAILY INSPECTION","SD",,
257,85,01-Jul-2018 22:27:00,"LMR #12 SIGNED OUT BY MAJV1","SD",,
258,85,01-Jul-2018 22:56:00,"AFLD5/JG OFF AFLD. DAILY INSPECTION CMPLT. NO NEW DISCREPANCIES","SD",,
259,85,01-Jul-2018 23:00:00,"A1C K. SOTOMAYOR/KK (AMOC) ON DUTY","SD",,
260,85,02-Jul-2018 00:02:00,"AFLD5/KK ON AFLD FOR FOD/BASH CK","SD",,
261,85,02-Jul-2018 00:07:00,"AFLD6/JG ON AFLD FOR FOD WALK","SD",,
262,85,02-Jul-2018 00:20:00,"AFLD5/KK OFF AFLD. NOTHING TO REPORT","SD",,
263,85,02-Jul-2018 00:22:00,"AFLD6/JG OFF AFLD. FOD WALK CMPLT","SD",,
265,85,02-Jul-2018 01:30:00,"SRA S. DESOUZA OFF DUTY","SD",,
266,85,02-Jul-2018 01:24:00,"AFLD5/KK ON AFLD FOR FOD/BASH/483 CK","SD",,
267,85,02-Jul-2018 02:03:00,"AFLD5/KK OFF AFLD. FOD/BASH CK CMPLT. 2/483 CK'D AND IN COMPLIANCE","KK",,
268,85,02-Jul-2018 02:43:00,"CALLED FD FOR ARFF. GREEN/10400","KK",,
269,85,01-Jul-2018 21:45:00,"ALFD5/KN OFF AFLD. PRIOR TO FLYING CK CMPLT","KK",,
270,85,02-Jul-2018 03:26:00,"AFLD5/KK ON AFLD TO CK TWY J OF AGE EQUIPMENT","KK",,
271,85,02-Jul-2018 03:41:00,"AFLD5/KK OFF AFLD. AGE EQUIPMENT HAS NOT BEEN REMOVED","KK",,
272,85,02-Jul-2018 03:50:00,"CE ENVIRONMENTAL CALLED/MR.KITAJIMA. ADVISED FUEL SPILL ON G20","KK",,
273,85,02-Jul-2018 04:15:00,"SSGT J. GUTIERREZ/JG, MR.K. NANKO/KN, AND A1C K. SOTOMAYOR/KK OFF DUTY. SHIFT CK LIST AND SHIFT BREIF CMPLT. SSGT P. RODRIGUEZ/EZ AND SRA A. TOLBERT/AT ON DUTY. DAY SHIFT LOG CLOSED","KK",,
274,86,04-Jul-2018 20:05:00,"AFLD5/CB ON AFLD FOR PRIOR TO FLYING CK","CB",,
275,86,04-Jul-2018 20:18:00,"AFLD5/CB OFF AFLD PRIOR TO FLYING CK CMPLT. BARRIERS:WITHDRAWN, RSC:DRY, BWC:LOW","CB",,
276,86,04-Jul-2018 20:00:00,"LOG OPEN. SRA K. LIMA/KG (AMSL), MR K. NANKO/KN (AMOC), AND A1C C. BRISCOE/CB (AMOC) ON SHIFT. LMR #4 SIGNED OUT. DAYSHIFT SHIFT CK LIST INITIATED. SOP #3 INITIATED. FLIGHT PLANNING ROOM CK CMPLT. NOTAMS SAVED 19M, 2V, 3L. MONITORING RAMP NET THROUGHOUT SHIFT","CB",,
277,86,04-Jul-2018 20:50:00,"TWR/RJ ADVISED OPENING UP ON THE HR RWY:18 IN USE","CB",,
279,86,04-Jul-2018 21:55:00,"AFLD5/KG ON AFLD FOR DAILY AFLD INSPECTION","CB",,
280,86,04-Jul-2018 22:35:00,"LMR #3 CK'D OUT TO MAJV. ON AFLD","CB",,
281,86,04-Jul-2018 22:47:00,"PTD CK INITIATED BOTH FREQUENCIES UHF/VHF L/C","CB",,
282,86,04-Jul-2018 23:05:00,"AFLD5/KG OFF AFLD. DAILY INSPECTION CMPLT","CB",,
283,86,04-Jul-2018 23:08:00,"TWR/RJ INITIATED DAILY PCAS CK","CB",,
284,86,04-Jul-2018 23:09:00,"SCN ACTIVATED FOR DAILY CK. ALL AGENCIES FOR THE EXCEPTION OF VEHICLE OPS AND CE RESPONDED L/C","CB",,
285,86,04-Jul-2018 23:24:00,"BARRIER MX ON AFLD FOR THE DAILY CERTIFICATION OF THE BARRIER","CB",,
286,86,04-Jul-2018 23:35:00,"BARRIER MX OFF AFLD.  BARRIER CERTIFIED","CB",,
287,86,05-Jul-2018 00:42:00,"RECEIVED CRASH STATUS FROM FD. GREEN/ 10,000","CB",,
288,86,05-Jul-2018 01:09:00,"AFLD5/CB ON AFLD FOR RAMP CK","CB",,
289,86,05-Jul-2018 01:26:00,"AFLD5/CB OFF AFLD RAMP CK CMPLT","CB",,
290,86,05-Jul-2018 02:03:00,"AFLD5/KG ON AFLD FOR FOD/BASH CK","CB",,
291,86,05-Jul-2018 02:25:00,"AFLD5/KG OFF AFLD FOD/BASH CK CMPLT","CB",,
292,86,05-Jul-2018 02:26:54,"BASH REPORTED. 6 CROWS FOUND LOAFING AT RED CARPET. DISPERSED USING VEHICLE. N/A","KG",,
293,86,05-Jul-2018 03:04:00,"AFLD5/CB ON AFLD FOR 483 CK","CB",,
294,86,05-Jul-2018 03:19:00,"AFLD5/CB OFF AFLD 483 CK CMPLT","CB",,
