"ID","shiftID","logOn","logOff","checkDate","outTime","inTime","Inspection","AF483Count","checkType","specialCheck","Remarks","callsign","initials","by","closed"
301,294,3473,3474,30-Nov-2018 00:00:00,30-Dec-1899 12:14:00,30-Dec-1899 12:36:00,0,0,"9",,"FINAL CK","AFLD5","CB",,1
304,299,3511,3512,02-Dec-2018 00:00:00,30-Dec-1899 05:58:00,30-Dec-1899 06:21:00,0,0,"6,8",,,"AFLD5","CB",,1
305,299,3513,3514,02-Dec-2018 00:00:00,30-Dec-1899 08:31:00,30-Dec-1899 09:23:00,0,0,"9",,"LIGHTING CK","AFLD5","AP",,1
307,299,3515,3516,02-Dec-2018 00:00:00,30-Dec-1899 11:37:00,30-Dec-1899 11:55:00,0,0,"9",,"RAMP CK","AFLD5","CB",,1
310,299,3518,3519,02-Dec-2018 00:00:00,30-Dec-1899 12:33:00,30-Dec-1899 12:45:00,0,0,"9",,"FINAL CK","AFLD5","AP",,1
311,301,3560,3561,03-Dec-2018 00:00:00,30-Dec-1899 04:57:00,30-Dec-1899 05:12:00,0,0,"6,8",,,"AFLD5","SD",,1
314,301,3562,3563,03-Dec-2018 00:00:00,30-Dec-1899 05:43:00,30-Dec-1899 06:07:00,0,0,"9",,"CONSTRUCTION CK","AFLD5","KF",,1
316,301,3567,3568,03-Dec-2018 00:00:00,30-Dec-1899 07:59:00,30-Dec-1899 08:12:00,0,0,"9",,"RAMP CK","AFLD5","SD",,1
318,301,-1,0,03-Dec-2018 00:00:00,30-Dec-1899 09:38:00,30-Dec-1899 10:25:00,0,0,"9",,"LIGHTING CK","AFLD5","CB",,1
321,303,3607,3608,04-Dec-2018 00:00:00,30-Dec-1899 05:22:00,30-Dec-1899 05:43:00,0,0,"6,8",,,"AFLD5","CB",,1
326,303,3615,3619,04-Dec-2018 00:00:00,30-Dec-1899 08:48:00,30-Dec-1899 09:46:00,0,0,"9",,"LIGHTING CK","AFLD5","SD",,1
328,303,3620,3621,04-Dec-2018 00:00:00,30-Dec-1899 10:20:00,30-Dec-1899 11:11:00,0,0,"9",,"RAMP/483 CK","AFLD5","KF/CB",,1
331,303,3625,3626,04-Dec-2018 00:00:00,30-Dec-1899 12:28:00,30-Dec-1899 12:45:00,0,0,"9",,"FINAL CK","AFDL5","KF",,1
333,305,3650,3651,05-Dec-2018 00:00:00,30-Dec-1899 05:21:00,30-Dec-1899 06:04:00,0,0,"6,8",,,"AFLD5","SD",,1
335,305,3652,3653,05-Dec-2018 00:00:00,30-Dec-1899 07:49:00,30-Dec-1899 08:10:00,0,0,"6,8",,,"AFLD5","SD",,1
339,305,3659,3660,05-Dec-2018 00:00:00,30-Dec-1899 10:16:00,30-Dec-1899 11:34:00,0,0,"9",,"LIGHTING CK","AFLD5","KF",,1
340,305,3661,3662,05-Dec-2018 00:00:00,30-Dec-1899 12:31:00,30-Dec-1899 12:46:00,0,0,"6,8",,"FINAL CK","AFLD5","KF",,1
341,307,3693,3694,06-Dec-2018 00:00:00,30-Dec-1899 04:31:00,30-Dec-1899 04:46:00,0,0,"6",,"RAMP CK","AFLD5","KF",,1
342,307,3696,3697,06-Dec-2018 00:00:00,30-Dec-1899 06:00:00,30-Dec-1899 06:22:00,0,0,"6",,"REPORT OF INDIVIDUALS WALKING ON SOUTH OVERRUN. AFLD5 ENROUTE TO RESPOND","AFLD5","AP",,1
344,307,3699,3701,06-Dec-2018 00:00:00,30-Dec-1899 08:42:00,30-Dec-1899 10:13:00,0,0,"9",,"LIGHTING CK","AFLD5","AP",,1
346,307,3702,3703,06-Dec-2018 00:00:00,30-Dec-1899 11:54:00,30-Dec-1899 12:26:00,0,0,"6",,,"AFLD5","KF",,1
347,307,0,0,07-Dec-2018 00:00:00,30-Dec-1899 15:12:00,30-Dec-1899 15:31:00,0,0,"9",,"PRIOR TO FLYING CK","AFLD5","KF",,0
350,307,0,0,07-Dec-2018 00:00:00,30-Dec-1899 15:47:00,30-Dec-1899 15:56:00,0,0,"6,8,9",,"FINAL CK","AFLD5","KF",,0
351,310,3716,3717,07-Dec-2018 00:00:00,30-Dec-1899 05:06:00,30-Dec-1899 05:19:00,0,0,"6",,,"AFLD5","JG",,1
353,310,3718,0,07-Dec-2018 00:00:00,30-Dec-1899 05:47:00,,0,0,"9",,"RETURN TRUCK TO VEHICLE MX","AFLD5","AP",,0
354,310,3720,3721,07-Dec-2018 00:00:00,30-Dec-1899 10:28:00,30-Dec-1899 11:25:00,0,0,"9",,"LIGHTING CHECK","AFLD5","JG",,1
356,310,3725,3726,07-Dec-2018 00:00:00,30-Dec-1899 12:16:00,30-Dec-1899 12:30:00,0,0,"9",,"FINAL CK","AFLD5","JG",,1
357,311,3728,3729,08-Dec-2018 00:00:00,29-Dec-1899 20:25:00,29-Dec-1899 20:46:00,0,0,"9",,"RSC DRY, BWC LOW. BARRIERS WITHDRAWN","AFLD5","JB",,1
360,311,3748,3749,08-Dec-2018 00:00:00,30-Dec-1899 03:20:00,30-Dec-1899 03:35:00,0,0,"6,8",,,"AFLD5","SD",,1
362,312,3754,3755,08-Dec-2018 00:00:00,30-Dec-1899 04:33:00,30-Dec-1899 05:18:00,0,0,"6",,,"AFLD5","JG",,1
363,312,3756,3757,08-Dec-2018 00:00:00,30-Dec-1899 08:10:00,30-Dec-1899 08:31:00,0,0,"9",,"RAMP CK","AFLD5","AP",,1
364,312,3758,3759,08-Dec-2018 00:00:00,30-Dec-1899 11:09:00,30-Dec-1899 12:15:00,0,0,"9",,"LIGHTING CK","AFLD5","JG",,1
365,312,3761,3762,08-Dec-2018 00:00:00,30-Dec-1899 12:31:00,30-Dec-1899 12:45:00,0,0,"9",,"FINAL CK","AFLD5","JG",,1
366,313,3775,3776,09-Dec-2018 00:00:00,30-Dec-1899 00:14:00,30-Dec-1899 01:10:00,0,0,"6,8",,"DAILY INSPECTION CMPLT. NO NEW DISCREPANCIES","AFLD5","SD",,1
368,314,3778,3779,09-Dec-2018 00:00:00,30-Dec-1899 05:16:00,30-Dec-1899 05:44:00,0,0,"6",,,"AFLD5","AP",,1
370,314,3780,3781,09-Dec-2018 00:00:00,30-Dec-1899 08:22:00,30-Dec-1899 08:50:00,0,0,"6",,,"AFLD5","JG",,1
371,314,3782,3783,09-Dec-2018 00:00:00,30-Dec-1899 10:20:00,30-Dec-1899 10:41:00,0,0,"9",,"RAMP CK","AFLD5","AP",,1
372,314,3784,3785,09-Dec-2018 00:00:00,30-Dec-1899 10:56:00,30-Dec-1899 11:43:00,0,0,"9",,"LIGHTING CK","AFLD5","JG",,1
373,316,3809,3810,10-Dec-2018 00:00:00,30-Dec-1899 04:57:00,30-Dec-1899 05:39:00,0,0,"6,8",,,"AFLD5","EZ CB",,1
376,316,3811,3812,10-Dec-2018 00:00:00,30-Dec-1899 05:52:00,30-Dec-1899 05:57:00,0,0,"9",,"REPORTED PEDESTRIAN ON S OVERRUN","AFLD5","CB",,1
379,316,3813,3814,10-Dec-2018 00:00:00,30-Dec-1899 08:00:00,30-Dec-1899 08:52:00,0,0,"9",,"LIGHTING CK","AFLD5","KF CB",,1
383,316,3819,3820,10-Dec-2018 00:00:00,30-Dec-1899 09:46:00,30-Dec-1899 10:40:00,0,0,"6,8",,,"AFLD5","KF CB",,1
387,316,3821,3822,10-Dec-2018 00:00:00,30-Dec-1899 12:22:00,30-Dec-1899 12:36:00,0,0,"9",,"FINAL CK","AFLD5","KF",,1
389,317,3827,3828,11-Dec-2018 00:00:00,29-Dec-1899 20:26:00,29-Dec-1899 20:38:00,0,0,"9",,"RSC DRY, BWC LOW. BARRIERS WITHDRAWN","AFLD5","SD",,1
393,313,3832,3833,09-Dec-2018 00:00:00,30-Dec-1899 03:14:00,30-Dec-1899 03:23:00,0,0,"9",,"RAMP CK","AFLD5","SD",,1
395,317,3838,3840,11-Dec-2018 00:00:00,30-Dec-1899 01:32:00,30-Dec-1899 01:29:00,0,0,"6,8",,,"AFLD5","KK",,1
397,318,3849,3850,11-Dec-2018 00:00:00,30-Dec-1899 04:54:00,30-Dec-1899 05:35:00,0,0,"6,9",,"DROP OFF UPS (BACK UP BATTERY) AT HAZ","AFLD5","CB",,1
399,318,3851,3852,11-Dec-2018 00:00:00,30-Dec-1899 08:02:00,30-Dec-1899 08:29:00,0,0,"2",,,"AFLD5","KF",,1
400,318,3856,3859,11-Dec-2018 00:00:00,30-Dec-1899 11:03:00,30-Dec-1899 11:22:00,0,0,"9",,"RAMP CK","AFLD5","CB",,1
401,318,3857,3858,11-Dec-2018 00:00:00,30-Dec-1899 09:40:00,30-Dec-1899 10:49:00,0,0,"9",,"LIGHTING CK","AFLD5","KF",,1
404,318,3860,3861,11-Dec-2018 00:00:00,30-Dec-1899 12:37:00,30-Dec-1899 12:49:00,0,0,"9",,"FINAL CK","AFLD5","KF",,1
405,318,3863,3864,11-Dec-2018 00:00:00,30-Dec-1899 12:46:00,30-Dec-1899 13:00:00,0,0,"9",,"FINAL CK","AFLD5","KF",,1
411,320,3887,3888,12-Dec-2018 00:00:00,30-Dec-1899 04:29:00,30-Dec-1899 04:51:00,0,0,"2",,,"AFLD5","KF",,1
412,320,3889,3890,12-Dec-2018 00:00:00,30-Dec-1899 05:19:00,30-Dec-1899 06:21:00,0,0,"9",,"AFLD CK","AFLD1","CD",,1
413,320,3892,3893,12-Dec-2018 00:00:00,30-Dec-1899 06:35:00,30-Dec-1899 07:23:00,0,0,"9",,"ESCORT","AFLD6","KN",,1
415,320,3894,3896,12-Dec-2018 00:00:00,30-Dec-1899 08:25:00,30-Dec-1899 09:14:00,0,0,"9",,"ESCORT","AFLD5","KN",,1
417,320,3897,3898,12-Dec-2018 00:00:00,30-Dec-1899 09:59:00,30-Dec-1899 12:17:00,0,0,"9",,"LIGHTING CK","AFLD5","KF",,1
419,320,3899,3900,12-Dec-2018 00:00:00,30-Dec-1899 12:31:00,30-Dec-1899 12:46:00,0,0,"9",,"FINAL CK","AFLD5","KF",,1
421,322,3920,3921,13-Dec-2018 00:00:00,30-Dec-1899 04:22:00,30-Dec-1899 04:45:00,0,0,"6",,"REPORTED BY PILOT (LONG PIECE OF ROPE/SEALANT ON RWY)","AFLD5","AP",,1
422,322,3923,3928,13-Dec-2018 00:00:00,30-Dec-1899 07:45:00,30-Dec-1899 08:00:00,0,0,"6",,,"AFLD5","AP",,1
423,322,3925,3926,13-Dec-2018 00:00:00,30-Dec-1899 11:07:00,30-Dec-1899 12:07:00,0,0,"9",,"LIGHTING CK","AFLD5","AP",,1
426,324,3932,3933,14-Dec-2018 00:00:00,30-Dec-1899 05:22:00,30-Dec-1899 05:44:00,0,0,"6,8",,"ALUMINUM FOIL FOUND AND REMOVED FROM AFLD OUTSIDE OF AMOPS BLDG","AFLD5","KF",,1
428,324,3934,3935,14-Dec-2018 00:00:00,30-Dec-1899 06:19:00,30-Dec-1899 06:38:00,0,0,"9",,"TRAFFIC LIGHT REPORTED UNLIT BY TWR","AFLD5","KF",,1
430,324,3936,3937,14-Dec-2018 00:00:00,30-Dec-1899 08:38:00,30-Dec-1899 08:58:00,0,0,"9",,"ESCORT","AFLD5","AP",,1
433,324,3940,3942,14-Dec-2018 00:00:00,30-Dec-1899 10:54:00,30-Dec-1899 12:14:00,0,0,"9",,"LIGHTING CK","AFLD5","KF",,1
438,324,3943,3944,14-Dec-2018 00:00:00,30-Dec-1899 12:36:00,30-Dec-1899 12:46:00,0,0,"9",,"FINAL CK","AFLD5","KF",,1
440,325,3950,3951,15-Dec-2018 00:00:00,30-Dec-1899 11:11:00,30-Dec-1899 11:48:00,0,0,"9",,"LIGHTING CK","AFLD5","AP",,1
442,325,3953,3954,15-Dec-2018 00:00:00,30-Dec-1899 05:00:00,30-Dec-1899 05:22:00,0,0,"6",,,"AFLD5","AP",,1
443,325,3955,3956,15-Dec-2018 00:00:00,30-Dec-1899 08:08:00,30-Dec-1899 08:39:00,0,0,"6",,,"AFLD5","AP",,1
444,325,3957,3958,15-Dec-2018 00:00:00,30-Dec-1899 12:35:00,30-Dec-1899 12:43:00,0,0,"9",,"FINAL CK","AFLD5","JG",,1
446,328,3979,3980,16-Dec-2018 00:00:00,30-Dec-1899 04:26:00,30-Dec-1899 04:59:00,0,0,"6,8",,,"AFLD5","KF",,1
447,328,3981,3982,16-Dec-2018 00:00:00,30-Dec-1899 08:16:00,30-Dec-1899 09:46:00,0,0,"9",,"LIGHTNING CK","AFLD5","KF",,1
448,328,3983,3984,16-Dec-2018 00:00:00,30-Dec-1899 10:25:00,30-Dec-1899 10:49:00,0,0,"6,8,9",,"RAMP CK","AFLD5","KF",,1
449,328,3985,3986,16-Dec-2018 00:00:00,30-Dec-1899 12:12:00,30-Dec-1899 12:34:00,0,0,"9",,"FINAL CK","AFLD5","KF",,1
451,329,3990,3991,17-Dec-2018 00:00:00,29-Dec-1899 20:24:00,29-Dec-1899 20:40:00,0,0,"9",,"RSC WET, BWC LOW, BARRIERS WITHDRAWN","AFLD5","KK",,1
453,329,4003,4004,17-Dec-2018 00:00:00,29-Dec-1899 23:21:00,30-Dec-1899 00:43:00,1,0,"9",,"DAILY INSPECTION CMPLT","AFLD5","KK",,1
455,329,4010,4011,17-Dec-2018 00:00:00,30-Dec-1899 02:08:00,30-Dec-1899 02:23:00,0,0,"2",,"RSC DRY","AFLD5","KK",,1
461,329,4018,4019,17-Dec-2018 00:00:00,30-Dec-1899 02:51:00,30-Dec-1899 03:05:00,0,0,"9",,"483 CK CMPLT","AFLD5","KK",,1
464,331,4038,4039,18-Dec-2018 00:00:00,29-Dec-1899 20:15:00,29-Dec-1899 20:32:00,0,0,"9",,"PRIOR TO FLYING CK CPMLT. RSC DRY, BWC LOW, BARRIERS WITHDRAWN","AFLD5","KK",,1
466,331,4052,4053,18-Dec-2018 00:00:00,30-Dec-1899 01:54:00,30-Dec-1899 02:14:00,0,0,"6,8",,"CMPLT","AFLD5","KK",,1
468,331,4054,4055,18-Dec-2018 00:00:00,30-Dec-1899 02:15:00,30-Dec-1899 02:44:00,0,0,"6,8",,"FOD/BASH CK CMPLT","AFLD5","KK",,1
470,332,4060,4061,18-Dec-2018 00:00:00,30-Dec-1899 06:28:00,30-Dec-1899 06:49:00,0,0,"6,8",,,"AFLD5","CB",,1
472,332,4063,4064,18-Dec-2018 00:00:00,30-Dec-1899 08:35:00,30-Dec-1899 08:48:00,0,0,"9",,"RAMP CK","AFLD5","KF",,1
474,332,4065,4066,18-Dec-2018 00:00:00,30-Dec-1899 10:34:00,30-Dec-1899 11:53:00,0,0,"9",,"LIGHTING CK","AFLD5","KF",,1
478,332,4068,4070,18-Dec-2018 00:00:00,30-Dec-1899 12:25:00,30-Dec-1899 12:41:00,0,0,"9",,"FINAL CK","AFLD5","KF",,1
481,333,4072,4073,19-Dec-2018 00:00:00,29-Dec-1899 20:11:00,29-Dec-1899 20:27:00,0,0,"9",,"PRIOR TO FLYING CK CMPLT. RSC DRY, BWC LOW, BARRIERS WITHDRAWN","AFLD5","KK",,1
483,333,4080,4081,19-Dec-2018 00:00:00,29-Dec-1899 23:50:00,30-Dec-1899 01:30:00,1,0,"9",,"DAILY INSPECTION CMPLT","AFLD5","AP",,1
485,333,4083,4084,19-Dec-2018 00:00:00,30-Dec-1899 02:49:00,30-Dec-1899 03:13:00,0,0,"6,8",,,"AFLD5","KK",,1
487,334,4088,4093,19-Dec-2018 00:00:00,30-Dec-1899 05:39:00,30-Dec-1899 06:58:00,0,0,"7",,,"AFLD2","MD",,1
488,334,4089,4092,19-Dec-2018 00:00:00,30-Dec-1899 06:19:00,30-Dec-1899 06:34:00,0,0,"6,8",,,"AFLD5","CB",,1
495,334,4096,4097,19-Dec-2018 00:00:00,30-Dec-1899 08:27:00,30-Dec-1899 08:38:00,0,0,"7",,,"AFLD5","CB",,1
497,334,4099,4100,19-Dec-2018 00:00:00,30-Dec-1899 11:04:00,30-Dec-1899 12:12:00,0,0,"9",,"LIGHTING CK","AFLD5","KF",,1
500,334,4109,4105,19-Dec-2018 00:00:00,30-Dec-1899 12:49:00,30-Dec-1899 12:58:00,0,0,"9",,"FINAL CK","AFLD5","CB",,1
501,334,4106,4107,19-Dec-2018 00:00:00,30-Dec-1899 13:15:00,30-Dec-1899 13:31:00,0,0,"9",,"PRIOR TO FLYING CK","AFLD5","KF",,1
504,336,4116,4117,20-Dec-2018 00:00:00,29-Dec-1899 20:10:00,29-Dec-1899 20:21:00,0,0,"9",,"PRIOR TO FLYING CK","AFLD5","JB",,1
506,336,4124,4129,20-Dec-2018 00:00:00,30-Dec-1899 00:15:00,30-Dec-1899 01:05:00,1,0,"9",,"NO NEW DISCREPANCIES.","AFLD5","AP",,1
509,336,4131,4132,20-Dec-2018 00:00:00,30-Dec-1899 02:06:00,30-Dec-1899 02:24:00,0,0,"9",,"RAMP CK","AFLD5","AP",,1
511,337,4137,4138,20-Dec-2018 00:00:00,30-Dec-1899 04:38:00,30-Dec-1899 04:59:00,0,0,"9",,"GROUND EMERGENCY/RAMP CK","AFLD5","JG",,1
513,337,4141,4142,20-Dec-2018 00:00:00,30-Dec-1899 06:32:00,30-Dec-1899 06:49:00,0,0,"6,8",,,"AFLD5","CB",,1
515,337,4143,4144,20-Dec-2018 00:00:00,30-Dec-1899 07:24:00,30-Dec-1899 07:40:00,0,0,"9",,"RAMP CK","AFLD5","JG",,1
518,337,4146,4147,20-Dec-2018 00:00:00,30-Dec-1899 09:25:00,30-Dec-1899 10:20:00,0,0,"9",,"LIGHTING CK","AFLD5","JG",,1
520,337,4149,4150,20-Dec-2018 00:00:00,30-Dec-1899 11:51:00,30-Dec-1899 12:04:00,0,0,"9",,"FINAL CK","AFLD5","JG",,1
522,339,4154,0,21-Dec-2018 00:00:00,29-Dec-1899 20:14:00,30-Dec-1899 20:28:00,0,0,"9",,"PRIOR TO FLYING CK","AFLD5","AP",,0
524,339,0,0,21-Dec-2018 00:00:00,30-Dec-1899 23:05:00,30-Dec-1899 23:35:00,0,0,"6,9",,"BARRIER CK","AFLD5","JB",,0
527,339,4164,4167,21-Dec-2018 00:00:00,29-Dec-1899 23:49:00,30-Dec-1899 01:15:00,1,0,"6",,,"AFLD5","JB",,1
530,340,4172,4173,21-Dec-2018 00:00:00,30-Dec-1899 04:53:00,30-Dec-1899 05:26:00,0,0,"6",,,"AFLD5","JG",,1
531,340,4174,4175,21-Dec-2018 00:00:00,30-Dec-1899 06:27:00,30-Dec-1899 06:58:00,0,0,"6,8,9",,"RAMP CK","AFLD5","JG",,1
534,340,4176,4177,21-Dec-2018 00:00:00,30-Dec-1899 08:25:00,30-Dec-1899 08:47:00,0,0,"6,8",,,"AFLD5","KF",,1
535,340,4179,4180,21-Dec-2018 00:00:00,30-Dec-1899 09:29:00,30-Dec-1899 10:56:00,0,0,"9",,"LIGHTING CK","AFLD5","KF",,1
537,340,4181,4182,21-Dec-2018 00:00:00,30-Dec-1899 11:57:00,30-Dec-1899 12:08:00,0,0,"9",,"FINAL CK","AFLD5","JG",,1
539,341,4189,4190,22-Dec-2018 00:00:00,29-Dec-1899 20:15:00,29-Dec-1899 20:42:00,0,0,"9",,"PRIOR TO FYLING CMPLT. RSC DRY, BWC LOW, BARRIERS CONFIGURED FOR RWY 36","AFLD5","KK",,1
542,341,4193,4195,22-Dec-2018 00:00:00,29-Dec-1899 20:57:00,29-Dec-1899 21:06:00,0,0,"6",,"FOD CK CMPLT","AFLD5","JB",,1
544,341,4197,0,22-Dec-2018 00:00:00,30-Dec-1899 10:18:00,30-Dec-1899 23:18:00,1,0,"9",,"DAILY INSPECTION CMPLT","AFLD5","KK",,0
548,342,4216,4217,22-Dec-2018 00:00:00,30-Dec-1899 04:52:00,30-Dec-1899 05:04:00,0,0,"9",,"BARRIER CONFIGURATION","AFLD5","JG",,1
550,342,4218,4219,22-Dec-2018 00:00:00,30-Dec-1899 06:51:00,30-Dec-1899 07:07:00,0,0,"6,8",,,"AFLD5","CB",,1
552,342,4220,4221,22-Dec-2018 00:00:00,30-Dec-1899 07:16:00,30-Dec-1899 07:22:00,0,0,"9",,"PEDESTRIAN REPORT","AFLD5","CB",,1
553,342,4223,4224,22-Dec-2018 00:00:00,30-Dec-1899 09:58:00,30-Dec-1899 10:15:00,0,0,"9",,"RAMP CK","AFLD5","JG",,1
554,342,4225,4226,22-Dec-2018 00:00:00,30-Dec-1899 11:00:00,30-Dec-1899 11:59:00,0,0,"9",,"LIGHTING CK","AFLD5","JG",,1
557,342,4230,4231,22-Dec-2018 00:00:00,30-Dec-1899 12:03:00,30-Dec-1899 12:18:00,0,0,"9",,"FINAL CK","AFLD5","JG",,1
558,343,0,0,23-Dec-2018 00:00:00,30-Dec-1899 20:04:00,30-Dec-1899 20:30:00,0,0,"9",,"PRIOR TO FLYING CK","AFLD5","JB",,0
559,343,-1,0,23-Dec-2018 00:00:00,30-Dec-1899 02:02:00,30-Dec-1899 03:45:00,1,0,"9",,"ON AFLD","AFLD5","JB",,1
560,343,0,0,23-Dec-2018 00:00:00,30-Dec-1899 23:57:00,30-Dec-1899 00:18:00,0,0,"1",,"NO DAMAGE TO PAVEMENT OR ACFT","AFLD5","JB",,0
564,344,4250,4251,23-Dec-2018 00:00:00,30-Dec-1899 04:45:00,30-Dec-1899 05:05:00,0,0,"9",,"RAMP CK","AFLD5","SD",,1
565,344,4252,4253,23-Dec-2018 00:00:00,30-Dec-1899 07:10:00,30-Dec-1899 07:30:00,0,0,"9",,"RAMP CK","AFLD5","JG",,1
566,345,0,0,26-Dec-2018 00:00:00,30-Dec-1899 20:22:00,29-Dec-1899 20:32:00,0,0,"9",,"PRIOR TO FLYING CK","AFLD5","JB",,0
568,345,0,0,26-Dec-2018 00:00:00,30-Dec-1899 23:28:00,30-Dec-1899 00:19:00,0,0,"6",,"NO FOD","AFLD5","AP",,0
570,345,4269,4272,26-Dec-2018 00:00:00,30-Dec-1899 01:55:00,30-Dec-1899 03:03:00,1,0,"9",,"SEE EVENTS LOG","AFLD5","JB",,1
574,346,4276,4277,26-Dec-2018 00:00:00,30-Dec-1899 05:15:00,30-Dec-1899 05:30:00,0,0,"9",,"RAMP CK","AFLD5","JG",,1
575,346,4278,4279,26-Dec-2018 00:00:00,30-Dec-1899 07:30:00,30-Dec-1899 07:45:00,0,0,"9",,"RAMP CK","AFLD5","JG",,1
576,346,4280,4281,26-Dec-2018 00:00:00,30-Dec-1899 11:00:00,30-Dec-1899 11:15:00,0,0,"9",,"RAMP CK","AFLD5","JG",,1
577,346,4282,4283,26-Dec-2018 00:00:00,30-Dec-1899 12:30:00,30-Dec-1899 12:45:00,0,0,"9",,"FINAL CK","AFLD5","JG",,1
579,347,0,0,27-Dec-2018 00:00:00,30-Dec-1899 22:34:00,29-Dec-1899 20:44:00,0,0,"6",,"PRIOR TO FLYING CK","AFLD5","JB",,0
582,347,4299,4300,27-Dec-2018 00:00:00,30-Dec-1899 01:41:00,30-Dec-1899 02:56:00,1,0,"9",,"SEE LOG","AFLD5","JB",,1
585,347,0,0,27-Dec-2018 00:00:00,30-Dec-1899 22:28:00,30-Dec-1899 22:53:00,0,0,"6",,,"AFLD5","AP",,0
586,348,4305,4306,27-Dec-2018 00:00:00,30-Dec-1899 05:30:00,30-Dec-1899 05:45:00,0,0,"9",,"RAMP CK","AFLD5","JG",,1
