"ID","NOTAM","nType","countryCode","qcode","aerodrome","startTime","endTime","period","verbiage","issuedBy","isCancelled"
9107,"M0018/18","N","RJJJ","QWVLW","RJTY",1/13/2018 21:47:00,1/23/2018 4:57:08,,"AERODROME IMC FORMATION FLT WILL TAKE PLACE AT FOLLOWING TIMES AND LOCATIONS. WEDNESDAY, 17 JANUARY 2 X C-130S, SRFC TO 1,015 FT AGL, 17 JAN/0800Z-1200Z, EAGLE DZ, SKE RUN-IN THURSDAY, 18 JANUARY 2 X C-130S, SRFC TO 1,015 FT AGL, 18 JAN/0001Z-0400Z, EAGLE DZ, SKE RUN-IN 3 X C-130S, SRFC TO 1,015 FT AGL, 18 JAN/0800Z-1200Z, EAGLE DZ, SKE RUN-IN FRIDAY, 19 JANUARY 1 X C-130S, SRFC TO 1,015 FT AGL, 19 JAN/0100Z-0500Z, EAGLE DZ, SKE RUN-IN ACTUAL PERSONNEL AIRDROPS WILL OCCUR 0100Z-0500Z FROM SFC TO 13,999 MSL MONDAY, 22 JANUARY 1 X C-130S, SRFC TO 1,015 FT AGL, 22 JAN/0600Z-1000Z, EAGLE DZ, SKE RUN-IN ACTUAL PERSONNEL AIRDROPS WILL OCCUR 0600Z-1000Z FROM SFC TO 13,999 MSL TUESDAY, 23 JANUARY 2 X C-130S, SRFC TO 1,015 FT AGL, 22 JAN/2300Z–23 JAN/0300Z, EAGLE DZ, SKE RUN-IN ACTUAL PERSONNEL AIRDROPS WILL OCCUR 2300Z-0300Z FROM SFC TO 13,999 MSL 2 X C-130S, SRFC TO 1,015 FT AGL, 23 JAN/0600Z-1000Z, EAGLE DZ, SKE RUN-IN WEDNESDAY, 24 JANUARY 1 X C-130S, SRFC TO 1,015 FT AGL, 23 JAN/2330Z-24 JAN/0330Z, EAGLE DZ, SKE RUN-IN ACTUAL PERSONNEL AIRDROPS WILL OCCUR 2330Z-0330Z FROM SFC TO 13,999 MSL 1 X C-130S, SRFC TO 1,015 FT AGL, 24 JAN/0630Z-1030Z, EAGLE DZ, SKE RUN-IN THURSDAY, 25 JANUARY 2 X C-130S, SRFC TO 1,015 FT AGL, 25 JAN/0001Z-0400Z, EAGLE DZ, SKE RUN-IN 3 X C-130S, SRFC TO 1,015 FT AGL, 25 JAN/0800Z-1200Z, EAGLE DZ, SKE RUN-IN","SD",1
9108,"L0006/18","N","RJJJ","QXXXX","RJTY",1/14/2018 12:43:00,1/15/2018 3:21:23,,"TWY H CLOSED","AT*",1
9109,"L0007/18","C",,,"RJTY",1/15/2018 3:21:23,1/18/2018 3:21:23,,"Cancel L0006/18","AT*",0
9110,"L0008/18","N","RJJJ","QXXXX","RJTY",1/15/2018 21:10:00,1/16/2018 8:00:00,,"K-TAXIWAY CLOSED","KN",0
9111,"L0009/18","N","RJJJ","QXXXX","RJTY",1/15/2018 21:11:00,1/16/2018 20:43:06,,"H-TAXIWAY CLOSED","KN",1
9112,"L0010/18","N","RJJJ","QXXXX","RJTY",1/16/2018 12:08:00,1/17/2018 11:42:56,,"TAXIWAY KILO CLOSED","KF",1
9113,"L0011/18","C",,,"RJTY",1/16/2018 20:43:06,1/19/2018 20:43:06,,"Cancel L0009/18","KN",0
9114,"M0019/18","N","RJJJ","QXXXX","RJTY",1/17/2018 8:47:00,1/17/2018 13:00:00,,"RWY 36 IS WET TO LESS THAN 1/10 INCH.","EZ",0
9115,"L0012/18","C",,,"RJTY",1/17/2018 11:42:56,1/20/2018 11:42:56,,"Cancel L0010/18","KF",0
9116,"M0020/18","N","RJJJ","QMRXX","RJTY",1/17/2018 21:06:00,1/18/2018 4:16:25,,"RWY :DESIGNATOR WET OBSERVED AT 1701172106.","SD",1
9117,"M0021/18","C",,,"RJTY",1/18/2018 1:05:04,1/21/2018 1:05:04,,"Cancel M0002/18","KK",0
9118,"M0022/18","N","RJJJ","QFAHW","RJTY",1/18/2018 1:15:00,1/18/2018 8:00:00,,"MEN AND EQUIPMENT ON GRASS AREA, WEST SIDE OF RUNWAY, BETWEEN TAXIWAY C1 AND A3.","KN",0
9119,"M0023/18","N","RJJJ","QFAXX","RJTY",1/20/2018 0:30:00,1/20/2018 9:10:00,,"QUIET HOURS IN EFFECT. NORMAL RISTRICTIONS APPLY INCLUDING NO TAXI/TAKEOFF OR ENGINE RUNING ACTIVITIES. MISSIONS REQUESTING TO OPERATE DURING THIS PERIOD REQUIRE A QUIET HOUR WAIVER COORDINATED WITH 374 AW/CP.","KK",0
9120,"M0024/18","C",,,"RJTY",1/18/2018 4:16:25,1/21/2018 4:16:25,,"Cancel M0020/18","SD",0
9121,"M0025/18","N","RJJJ","QMRLC","RJTY",1/19/2018 3:30:00,1/19/2018 0:51:54,," RWY 36 CLSD TO GENERAL AVIATION FOR MONTHLY CLOSURE FROM 0330Z-0830Z.","KN",1
9122,"M0026/18","N","RJJJ","QMRLC","RJTY",1/19/2018 3:30:00,1/19/2018 8:30:00,,"RUNWAY CLOSED EXCEPT PATRIOT EXPRESS","KN",0
9123,"M0027/18","C",,,"RJTY",1/19/2018 0:51:54,1/22/2018 0:51:54,,"Cancel M0025/18","KN",0
9124,"M0028/18","N","RJJJ","QICAS","RJTY",1/19/2018 6:00:00,1/19/2018 7:00:00,,"RWY 36 ILS NOT AVAILABLE","KN",0
9125,"L0013/18","N","RJJJ","QXXXX","RJTY",1/19/2018 2:06:00,1/26/2018 10:00:00,,"SPOT C12 AND C14 CLOSED","KN",0
9126,"M0029/18","N","RJJJ","QOBCE","RJTY",1/19/2018 3:46:00,1/19/2018 8:30:00,,"AERODROME CRANE OPERATIONS AT THE CONTROL TOWER ON 19 JAN FROM 0345Z UNTIL 0830Z. MAX HEIGHT OF THE CRANE WILL BE 125FT.","CA*",0
9127,"M0030/18","N","RJJJ","QMXLC","RJTY",1/19/2018 5:28:00,1/19/2018 5:31:54,,"TWY B CLSD","KF",1
9128,"L0014/18","N","RJJJ","QXXXX","RJTY",1/19/2018 5:30:00,1/19/2018 8:30:00,,"TWY A1 CLOSED","KF",0
9129,"M0031/18","C",,,"RJTY",1/19/2018 5:31:54,1/22/2018 5:31:54,,"Cancel M0030/18","KF",0
9130,"L0015/18","N","RJJJ","QXXXX","RJTY",1/19/2018 5:33:00,1/19/2018 8:30:00,,"TWY B CLOSED","KF",0
9131,"M0145/18","N","RJJJ","QFAXX","RJTY",2/23/2018 2:20:00,2/23/2018 3:10:00,,"AERODROME QUIET HOURS IN EFFECT. NORMAL QUIET HOUR RESTRICTIONS WILL BE OBSERVED, WHICH INCLUDE NO ENGINE RUNNING ACTIVITIES. MISSIONS REQUESTING TO OPERATE DURING THIS PERIOD REQUIRE A QUIET HOUR WAIVER COORDINATED WITH 374 AW/CP.","SD",0
9132,"M0032/18","N","RJJJ","QXXXX","RJTY",1/22/2018 0:05:00,1/24/2018 0:01:00,,"RWY 18/36 BARRIERS UNAVAILABLE","KG",0
9133,"M0033/18","N","RJJJ","QMRGO","RJTY",1/22/2018 0:13:00,1/22/2018 13:00:00,,"RWY WET","KG",0
9134,"M0034/18","N","RJJJ","QMXLC","RJTY",1/22/2018 4:22:00,1/22/2018 23:00:00,,"TWY H CLSD","KG",0
9135,"M0035/18","N","RJJJ","QMRHO","RJTY",1/22/2018 5:16:00,1/22/2018 6:19:14,,"RSC LSR (LOOSE SNOW ON RWY) RCR 10","KN",1
9136,"L0016/18","N","RJJJ","QXXXX","RJTY",1/22/2018 6:16:00,1/23/2018 3:00:00,,"K-TAXIWAY CLOSED.","KN",0
9137,"M0036/18","N","RJJJ","QMRHC","RJTY",1/22/2018 6:18:00,1/22/2018 6:35:49,,"PACKED SNOW ON RUNWAY WITH THE DEPTH OF MORE THEN 1/8 INCHES. RCR IS 10.","KN",1
9138,"M0037/18","C",,,"RJTY",1/22/2018 6:19:14,1/25/2018 6:19:14,,"Cancel M0035/18","KN",0
9139,"M0038/18","N","RJJJ","QFAHW","RJTY",1/22/2018 6:29:00,1/23/2018 3:00:00,,"AERODROME SNOW CLEARANCE IN PROGRESS. CONTACT AIRFIELD MANAGEMENT FOR AVAILABLE RAMP, TAXIWAY, AND RUNWAY CONDITION.","KN",0
9140,"M0039/18","N","RJJJ","QMRHC","RJTY",1/22/2018 6:35:00,1/22/2018 8:09:03,,"PACKED SNOW ON RUNWAY WITH THE DEPTH OF MORE THAN 1/8 INCHES. RCR IS 7.","KN",1
9141,"M0040/18","C",,,"RJTY",1/22/2018 6:35:49,1/25/2018 6:35:49,,"Cancel M0036/18","KN",0
9142,"M0041/18","N","RJJJ","QIGAS","RJTY",1/22/2018 7:12:00,1/26/2018 5:45:17,,"RWY 36 GLIDE SLOPE UNSERVICEABLE","KN",1
9143,"M0042/18","N","RJJJ","QMRHC","RJTY",1/22/2018 8:08:00,1/22/2018 23:37:42,,"PACKED SNOW ON RUNWAY WITH THE DEPTH OF MORE THAN 1/8 INCHES. RCR IS 6.","KG",1
9144,"M0043/18","C",,,"RJTY",1/22/2018 8:09:03,1/25/2018 8:09:03,,"Cancel M0039/18","KN",0
9145,"M0044/18","N","RJJJ","QMRHC","RJTY",1/22/2018 22:32:00,1/23/2018 0:50:25,,"ICE ON RUNWAY WITH THE DEPTH OF LESS THAN 1/8 INCHES. RCR IS 9.","KG",1
9146,"M0045/18","C",,,"RJTY",1/22/2018 23:37:42,1/25/2018 23:37:42,,"Cancel M0042/18","KG",0
9147,"M0046/18","N","RJJJ","QMRXX","RJTY",1/23/2018 0:50:00,1/23/2018 4:19:19,,"SLUSH ON RWY","SD",1
9148,"M0047/18","C",,,"RJTY",1/23/2018 0:50:25,1/26/2018 0:50:25,,"Cancel M0044/18","KG",0
9149,"M0048/18","N","RJJJ","QMXLC","RJTY",1/23/2018 0:51:00,1/24/2018 13:00:00,,"TWY H CLSD","KG",0
9150,"M0049/18","N","RJJJ","QFAHW","RJTY",1/23/2018 0:53:00,1/24/2018 13:00:00,,"AERODROME SNOW CLEARANCE IN PROGRESS. CONTACT AIRFIELD MANAGEMENT FOR AVAILABLE RAMP, TAXIWAY, AND RUNWAY CONDITION.","KG",0
9151,"M0050/18","N","RJJJ","QXXXX","RJTY",1/23/2018 0:59:00,1/24/2018 13:00:00,,"ACFT USE CAUTION SNOW BERMS LOCATED 50 FT FROM TWY A CENTERLINE, GREATER THAN 3 FT","KG",0
9152,"M0051/18","N","RJJJ","QMRXX","RJTY",1/23/2018 3:17:00,1/24/2018 13:00:00,,"RWY 36 LAST 500 FT OF OVERRUN UNUSABLE","KG",0
9153,"L0017/18","N","RJJJ","QXXXX","RJTY",1/23/2018 3:19:00,1/24/2018 13:00:00,,"TAXILANE ALPHA CLOSED FROM E1 TO A3","KG",0
9154,"M0052/18","C",,,"RJTY",1/23/2018 4:19:19,1/26/2018 4:19:19,,"Cancel M0046/18","SD",0
9155,"M0053/18","N","RJJJ","QMRGO","RJTY",1/23/2018 4:19:00,1/23/2018 6:08:27,,"RWY :DESIGNATOR WET","SD",1
9156,"M0054/18","C",,,"RJTY",1/23/2018 4:57:08,1/26/2018 4:57:08,,"Cancel M0018/18","SD",0
9157,"M0055/18","C",,,"RJTY",1/23/2018 6:08:27,1/26/2018 6:08:27,,"Cancel M0053/18","SD",0
9158,"M0056/18","N","RJJJ","QMNLC","RJTY",1/23/2018 9:17:00,1/24/2018 13:00:00,," ECHO RAMP CLSD","SD",0
9159,"M0057/18","N","RJJJ","QMXLC","RJTY",1/23/2018 9:18:00,1/24/2018 13:00:00,,"TWY G CLSD","KF",0
9160,"M0058/18","N","RJJJ","QMXLL","RJTY",1/23/2018 9:20:00,1/24/2018 13:00:00,,"TWY A BETWEEN TWY E1 AND TWY A3 SNOW BERMS WITHIN 20FT OF TWY CENTERLINE","SD",0
9161,"M0059/18","N","RJJJ","QMXLC","RJTY",1/23/2018 9:21:00,1/24/2018 13:00:00,,"TWY K CLSD","SD",0
9162,"M0060/18","N","RJJJ","QWVLW","RJTY",1/23/2018 23:30:00,1/24/2018 10:30:00,,"IMC FORMATION FLIGHTS WILL TAKE PLACE: 1 X C-130S, SRFC TO 1,015 FT AGL, 23 JAN/2330Z-24 JAN/0330Z, EAGLE DZ, SKE RUN-IN ACTUAL PERSONNEL AIRDROPS WILL OCCUR 2330Z-0330Z FROM SFC TO 13,999 MSL ... 1 X C-130S, SRFC TO 1,015 FT AGL, 24 JAN/0630Z-1030Z, EAGLE DZ, SKE RUN-IN","SD",0
9163,"M0061/18","N","RJJJ","QWVLW","RJTY",1/25/2018 0:01:00,1/25/2018 12:00:00,,"IMC FORMATION FLIGHTS WILL TAKE PLACE: 2 X C-130S, SRFC TO 1,015 FT AGL, 25 JAN/0001Z-0400Z, EAGLE DZ, SKE RUN-IN ... 3 X C-130S, SRFC TO 1,015 FT AGL, 25 JAN/0800Z-1200Z, EAGLE DZ, SKE RUN-IN","SD",0
9164,"L0018/18","N","RJJJ","QXXXX","RJTY",1/24/2018 9:33:00,1/25/2018 0:01:00,,"F-TWY, NORTH OF INTERSECTION OF C2 AND G TAXIWAY, IS LIMITED TO C-130 OR SMALLER.","KN",0
9165,"L0019/18","N","RJJJ","QXXXX","RJTY",1/25/2018 4:46:00,1/25/2018 7:10:36,,"TWY H CLSD","CB",1
9166,"L0020/18","N","RJJJ","QXXXX","RJTY",1/25/2018 4:47:00,1/28/2018 23:49:30,,"TWY J CLSD","CB",1
9167,"L0021/18","N","RJJJ","QXXXX","RJTY",1/25/2018 4:47:00,1/25/2018 7:10:49,,"TWY K CLSD","CB",1
9168,"L0022/18","N","RJJJ","QXXXX","RJTY",1/25/2018 4:49:00,1/25/2018 7:11:10,,"TWY G CLSD","CB",1
9169,"M0062/18","N","RJJJ","QMXXX","RJTY",1/25/2018 6:01:00,1/29/2018 13:00:00,,"TWY A 3 FT SNOW BERMS LOCATED 40 FT FROM TWY CL ON TWY A1; 6 FT SNOW BERM LOCATED 22 FT FROM TWY CL BETWEEN E1 AND A3","KF",0
9170,"L0023/18","C",,,"RJTY",1/25/2018 7:10:36,1/28/2018 7:10:36,,"Cancel L0019/18","CB",0
9171,"L0024/18","C",,,"RJTY",1/25/2018 7:10:49,1/28/2018 7:10:49,,"Cancel L0021/18","CB",0
9172,"L0025/18","C",,,"RJTY",1/25/2018 7:11:10,1/28/2018 7:11:10,,"Cancel L0022/18","CB",0
9173,"M0063/18","N","RJJJ","QMNLC","RJTY",1/25/2018 7:12:00,1/29/2018 7:47:02,," GOLF RAMP CLSD","SD",1
9174,"M0064/18","N","RJJJ","QMNLC","RJTY",1/25/2018 7:13:00,1/29/2018 13:00:00,,"RAMP CHARLIE RAMP SPOTS CV 1- 6 CLSD","CB",0
9175,"M0065/18","N","RJJJ","QMMXX","RJTY",1/25/2018 12:09:00,3/12/2018 4:50:43,,"RWY 36 6000FT DISTANCE REMAINING SIGN EAST SIDE NOT LGTD","KG",1
9176,"M0066/18","N","RJJJ","QXXXX","RJTY",1/25/2018 23:04:00,1/26/2018 7:00:00,,"FUSSA, MUSASHIMURAYAMA, AND TACHIKAWA CITIES. LOCATION IS MORE THAN 3 MILES AWAY AND WITHIN 3 MILES ON EITHER SIDE OF THE APPROACH COURSE: RESTRICT FLIGHT OPERATIONS TO ABOVE 3000 FT AND USE OPPOSITE DIRECTION ARRIVALS/DEPARTURES TO MAX EXTENT POSSIBLE. NO RESTRICTINS TO GROUND OPERATIONS.","KK",0
9177,"M0067/18","C",,,"RJTY",1/26/2018 5:45:17,1/29/2018 5:45:17,,"Cancel M0041/18","KN",0
9178,"M0068/18","N","RJJJ","QICLS","RJTY",1/26/2018 5:50:00,2/2/2018 13:00:00,,"RWY 36 ILS UNRELIABLE DUE TO SNOW BERMS","KN",0
9179,"M0069/18","N","RJJJ","QGSAU","RJTY",1/26/2018 8:31:00,2/9/2018 13:00:00,,"LIQUID NITROGEN, LN-2, NOT AVAILABLE FOR AMC AIRCRAFT","KN",0
9180,"M0079/18","N","RJJJ","QSPLC","RJTY",1/31/2018 15:00:00,1/29/2018 7:57:34,,"ASR APCH CONTROL NOT AVAILABLE","SD",1
9181,"M0070/18","N","RJJJ","QLYAS","RJTY",1/27/2018 8:00:00,2/2/2018 13:00:00,,"TWY C   EDGE LGT AT TWY C2 UNSERVICEABLE","SD",0
9182,"M0071/18","C",,,"RJTY",1/27/2018 1:44:01,1/30/2018 1:44:01,,"Cancel M0802/17","SD",0
9183,"M0072/18","N","RJJJ","QLAAS","RJTY",1/27/2018 1:44:00,4/20/2018 13:00:00,,"RWY 36 SEQUENCED FLASHING LGT UNSERVICEABLE","SD",0
9184,"L0026/18","C",,,"RJTY",1/28/2018 23:49:30,1/31/2018 23:49:30,,"Cancel L0020/18","CB",0
9185,"M0073/18","N","RJJJ","QXXXX","RJTY",1/29/2018 6:00:00,1/29/2018 11:00:00,,"IMC FORMATION FLIGHTS WILL TAKE PLACE: 3 X C-130S, SRFC TO 1,015 FT AGL, EAGLE DZ, SKE RUN-IN","CB",0
9186,"M0074/18","N","RJJJ","QXXXX","RJTY",1/30/2018 0:01:00,1/30/2018 4:00:00,,"IMC FORMATION FLIGHTS WILL TAKE PLACE: 3 X C-130S, SRFC TO 1,015 FT AGL, EAGLE DZ, SKE RUN-IN","CB",0
9187,"M0075/18","N","RJJJ","QXXXX","RJTY",1/30/2018 8:00:00,1/30/2018 12:00:00,,"IMC FORMATION FLIGHTS WILL TAKE PLACE: 3 X C-130S, SRFC TO 1,015 FT AGL, EAGLE DZ, SKE RUN-IN","CB",0
9188,"M0076/18","N","RJJJ","QXXXX","RJTY",1/31/2018 0:01:00,1/31/2018 4:00:00,,"IMC FORMATION FLIGHTS WILL TAKE PLACE:2 X C-130S, SRFC TO 1,015 FT AGL, EAGLE DZ, SKE RUN-IN","CB",0
9189,"M0077/18","N","RJJJ","QXXXX","RJTY",1/31/2018 8:00:00,1/31/2018 12:00:00,,"IMC FORMATION FLIGHTS WILL TAKE PLACE: 3 X C-130S, SRFC TO 1,015 FT AGL, EAGLE DZ, SKE RUN-IN","CB",0
9190,"M0078/18","N","RJJJ","QXXXX","RJTY",2/1/2018 0:01:00,2/1/2018 4:00:00,,"IMC FORMATION FLIGHTS WILL TAKE PLACE: 3 X C-130S, SRFC TO 1,015 FT AGL, EAGLE DZ, SKE RUN-IN","CB",0
9191,"M0085/18","N","RJJJ","QXXXX","RJTY",2/1/2018 8:00:00,2/1/2018 12:00:00,,"IMC FORMATION FLIGHTS WILL TAKE PLACE: 4 X C-130S, SRFC TO 1,015 FT AGL, EAGLE DZ, SKE RUN-IN","SD",0
9192,"M0084/18","N","RJJJ","QXXXX","RJTY",2/1/2018 23:00:00,2/2/2018 3:00:00,,"IMC FORMATION FLIGHTS WILL TAKE PLACE: 3 X C-130S, SRFC TO 1,015 FT AGL, EAGLE DZ, SKE RUN-IN","SD",0
9193,"L0027/18","N","RJJJ","QXXXX","RJTY",1/29/2018 4:14:00,1/29/2018 23:00:00,,"K-TWY CLOSED","KN",0
9194,"M0080/18","C",,,"RJTY",1/29/2018 7:47:02,2/1/2018 7:47:02,,"Cancel M0063/18","SD",0
9195,"M0081/18","C",,,"RJTY",1/29/2018 7:57:34,2/1/2018 7:57:34,,"Cancel M0079/18","SD",0
9196,"M0082/18","N","RJJJ","QSPXX","RJTY",1/31/2018 15:00:00,4/27/2018 13:00:00,,"SURVEILLANCE APCHS NOT AVAILABLE","SD",0
9197,"M0083/18","N","RJJJ","QOBCE","RJTY",1/31/2018 22:00:00,2/28/2018 13:00:00,,"B-1, CRAWLER CRANE 120 TON WILL OPERATE. WORK PERIOD; 1 AND 28 FEB 18 (EXCEPT 3, 4, 11, 12, 17, 18 AND 25 FEB 18). MAX HEIGHT: 223.3 FT (68 METERS) AGL. LOCATION: 139°21'29.29""E 35°42'53.86""N (APPROX. 1.1 NM SOUTH OF RWY 36 APPROACH END) GROUND ELEVATION: 354.3 FT MSL (101.03 METERS)","KN",0
9198,"L0028/18","N","RJJJ","QXXXX","RJTY",1/31/2018 21:01:00,1/31/2018 22:51:22,,"A-TAXILANE BETWEEN NORTH OF E1 TWY AND SPOT D3 IS LIMITED TO AIRCRAFT SIZE C-20 AND SMALLER","KN",1
9199,"L0029/18","C",,,"RJTY",1/31/2018 22:51:22,2/3/2018 22:51:22,,"Cancel L0028/18","KN",0
9200,"L0030/18","N","RJJJ","QXXXX","RJTY",2/1/2018 0:30:00,2/1/2018 2:30:00,,"FLIGHTLINE SERVICE ROAD CLOSED BETWEEN SOUTH OF BLDG703 AND NORTH OF BLDG. 602","KN",0
9201,"M0086/18","N","RJJJ","QCAXX","RJTY",2/1/2018 1:12:00,2/1/2018 2:44:52,,"BASE OPS 119.0 NOT AVAILABLE USE 313.6","SD",1
9202,"M0087/18","C",,,"RJTY",2/1/2018 2:44:52,2/4/2018 2:44:52,,"Cancel M0086/18","SD",0
9203,"M0088/18","N","RJJJ","QMRGO","RJTY",2/1/2018 17:14:00,2/1/2018 19:27:22,,"AERODROME RWY IS WET","KF",1
9204,"M0089/18","C",,,"RJTY",2/1/2018 19:27:22,2/4/2018 19:27:22,,"Cancel M0088/18","KF",0
9205,"M0090/18","N","RJJJ","QXXXX","RJTY",2/1/2018 19:43:00,2/1/2018 21:21:23,,"AERODROME RWY IS WET WITH 1/8 OF AN INCH OF SLUSH","KF",1
9206,"M0091/18","N","RJJJ","QXXXX","RJTY",2/1/2018 21:21:00,2/1/2018 22:36:01,,"AERODROME LOOSE SNOW ON RWY. RCR IS 10.","KF",1
9207,"M0092/18","C",,,"RJTY",2/1/2018 21:21:23,2/4/2018 21:21:23,,"Cancel M0090/18","KF",0
9208,"M0093/18","N","RJJJ","QMHAW","RJTY",2/1/2018 21:44:00,2/2/2018 13:00:00,,"AERODROME AIRCRAFT ARRESTING GEAR COMPLETELY WITHDRAWN","KF",0
9209,"M0113/18","N","RJJJ","QOBCE","RJTY",2/8/2018 5:10:00,2/28/2018 8:00:00,,"AERODROME B-2, ROUGH TERRAIN CRANE 50 TON WORK PERIOD; BETWEEN 8 AND 28 FEB 18 (EXCEPT 11, 12, 17, 18 AND25 FEB 18) HEIGHT: 137.8 FEET (42.0 METERS) LOCATION: 139°21'29.29E 35°42'53.86N GROUND ELEVATION: 328.3 FEET MSL (75.03 METERS)","SD",0
9210,"M0094/18","N","RJJJ","QMRHP","RJTY",2/1/2018 22:35:00,2/1/2018 23:34:33,,"AERODROME PACKED SNOW ON RWY. RWY SNOW CLEARANCE IN PROGRESS. RCR IS 11.","CB",1
9211,"M0095/18","C",,,"RJTY",2/1/2018 22:36:01,2/4/2018 22:36:01,,"Cancel M0091/18","KF",0
9212,"M0096/18","C",,,"RJTY",2/1/2018 23:34:33,2/4/2018 23:34:33,,"Cancel M0094/18","CB",0
9213,"M0097/18","N","RJJJ","QMRHP","RJTY",2/1/2018 23:40:00,2/2/2018 17:00:00,,"RWY :DESIGNATOR SLUSH ON RWY. SNOW CLEARANCE STILL IN PROGRESS. NO RCR.","CB",0
